,Month_Year,County,Year,Month,State,FIPS_Code,Dosage_Industry,Dosage_Purdue,MME_Industry,MME_Purdue,Volume_Industry,Volume_Purdue
0,2006m1,AUTAUGA,2006,1,AL,AL001,163860.0,1600.0,1134001.582500003,96822.0,1430550.0,72000.0
1,2006m1,BALDWIN,2006,1,AL,AL003,443050.0,9700.0,3088214.144499983,587655.75,4007595.0,437000.0
2,2006m1,BARBOUR,2006,1,AL,AL005,65090.0,400.0,446074.095,16137.0,574675.0,12000.0
3,2006m1,BIBB,2006,1,AL,AL007,53720.0,1800.0,389428.9474999998,88753.5,497650.0,66000.0
4,2006m1,BLOUNT,2006,1,AL,AL009,86530.0,2500.0,628027.3799999999,123717.0,789575.0,92000.0
5,2006m1,BULLOCK,2006,1,AL,AL011,6720.0,,31890.84,,45350.0,
6,2006m1,BUTLER,2006,1,AL,AL013,53000.0,400.0,292504.63749999984,17481.75,441250.0,13000.0
7,2006m1,CALHOUN,2006,1,AL,AL015,407480.0,9498.0,3094862.4174999893,605110.605,3930450.0,449980.0
8,2006m1,CHAMBERS,2006,1,AL,AL017,54050.0,2300.0,664052.9925000002,123717.0,676825.0,92000.0
9,2006m1,CHEROKEE,2006,1,AL,AL019,70000.0,800.0,634763.16,47066.25,721650.0,35000.0
10,2006m1,CHILTON,2006,1,AL,AL021,103890.0,6900.0,760236.0475000003,371151.0,958525.0,276000.0
11,2006m1,CHOCTAW,2006,1,AL,AL023,38660.0,1300.0,239376.31749999995,88753.5,335700.0,66000.0
12,2006m1,CLARKE,2006,1,AL,AL025,55070.0,1400.0,323051.53499999974,91443.0,473775.0,68000.0
13,2006m1,CLAY,2006,1,AL,AL027,31530.0,300.0,209637.20249999993,6723.75,273225.0,5000.0
14,2006m1,CLEBURNE,2006,1,AL,AL029,21300.0,200.0,127104.6375,8068.5,184000.0,6000.0
15,2006m1,COFFEE,2006,1,AL,AL031,106680.0,1400.0,662319.7025000007,63203.25,887850.0,47000.0
16,2006m1,COLBERT,2006,1,AL,AL033,284300.0,8400.0,1971072.562500001,441078.0,2613500.0,328000.0
17,2006m1,CONECUH,2006,1,AL,AL035,26600.0,2100.0,166283.18749999997,99511.5,241750.0,74000.0
18,2006m1,COOSA,2006,1,AL,AL037,9960.0,200.0,52382.78000000002,6723.75,79200.0,5000.0
19,2006m1,COVINGTON,2006,1,AL,AL039,147720.0,900.0,866274.3725000005,43032.0,1241150.0,32000.0
20,2006m1,CRENSHAW,2006,1,AL,AL041,25820.0,100.0,209497.72249999997,1344.75,254150.0,1000.0
21,2006m1,CULLMAN,2006,1,AL,AL043,264600.0,3600.0,2072972.4719999998,164059.5,2561070.0,122000.0
22,2006m1,DALE,2006,1,AL,AL045,52200.0,2400.0,397853.25,161370.0,459000.0,120000.0
23,2006m1,DALLAS,2006,1,AL,AL047,72400.0,2900.0,391494.3949999997,149267.25,558050.0,111000.0
24,2006m1,DE KALB,2006,1,AL,AL049,180660.0,3200.0,1237638.6050000011,219194.25,1623950.0,163000.0
25,2006m1,ELMORE,2006,1,AL,AL051,107710.0,1400.0,859094.5675000018,65892.75,1041575.0,49000.0
26,2006m1,ESCAMBIA,2006,1,AL,AL053,117220.0,6100.0,709654.9850000005,294500.25,1010400.0,219000.0
27,2006m1,ETOWAH,2006,1,AL,AL055,302510.8,12100.0,3767860.104099991,762473.25,3722179.0,567000.0
28,2006m1,FAYETTE,2006,1,AL,AL057,38520.0,1500.0,218999.09749999986,69927.0,304650.0,52000.0
29,2006m1,FRANKLIN,2006,1,AL,AL059,160240.0,2000.0,946897.4575000015,79340.25,1366550.0,59000.0
30,2006m1,GENEVA,2006,1,AL,AL061,81160.0,700.0,699555.5175000004,32274.0,832200.0,24000.0
31,2006m1,GREENE,2006,1,AL,AL063,4790.0,,18267.145,,30175.0,
32,2006m1,HALE,2006,1,AL,AL065,21800.0,400.0,127239.25000000001,43032.0,185750.0,32000.0
33,2006m1,HENRY,2006,1,AL,AL067,25050.0,200.0,189615.525,10758.0,242375.0,8000.0
34,2006m1,HOUSTON,2006,1,AL,AL069,227870.0,4800.0,1693478.5680000014,239365.5,2046630.0,178000.0
35,2006m1,JACKSON,2006,1,AL,AL071,116330.0,3600.0,848508.1175000009,219194.25,1079825.0,163000.0
36,2006m1,JEFFERSON,2006,1,AL,AL073,1586430.0,65875.0,12416370.129500164,3540726.75,14970995.0,2633000.0
37,2006m1,LAMAR,2006,1,AL,AL075,34160.0,200.0,234485.24249999993,5379.0,296950.0,4000.0
38,2006m1,LAUDERDALE,2006,1,AL,AL077,270090.0,3800.0,1858187.9450000029,190954.5,2430175.0,142000.0
39,2006m1,LAWRENCE,2006,1,AL,AL079,72240.0,800.0,561644.2325000005,30929.25,693550.0,23000.0
40,2006m1,LEE,2006,1,AL,AL081,130890.0,1900.0,827152.1725000021,149267.25,1074775.0,111000.0
41,2006m1,LIMESTONE,2006,1,AL,AL083,108730.0,3200.0,815014.815000001,207091.5,991475.0,154000.0
42,2006m1,LOWNDES,2006,1,AL,AL085,2130.0,,23538.015000000003,,24225.0,
43,2006m1,MACON,2006,1,AL,AL087,18930.0,100.0,115703.60250000002,10758.0,162725.0,8000.0
44,2006m1,MADISON,2006,1,AL,AL089,733480.0,11000.0,5309622.589999983,508315.5,6616600.0,378000.0
45,2006m1,MARENGO,2006,1,AL,AL091,31220.0,300.0,183738.88499999992,10758.0,252400.0,8000.0
46,2006m1,MARION,2006,1,AL,AL093,104010.0,3000.0,792782.5675000012,172128.0,964825.0,128000.0
47,2006m1,MARSHALL,2006,1,AL,AL095,250960.0,7600.0,1870795.305000004,420906.75,2369950.0,313000.0
48,2006m1,MOBILE,2006,1,AL,AL097,952876.0,27700.0,5907174.047999973,1488638.25,8297370.0,1107000.0
49,2006m1,MONROE,2006,1,AL,AL099,42440.0,700.0,288157.2074999998,33618.75,385300.0,25000.0
50,2006m1,MONTGOMERY,2006,1,AL,AL101,399980.0,5300.0,2918092.104999987,256847.25,3658950.0,191000.0
51,2006m1,MORGAN,2006,1,AL,AL103,305960.0,5500.0,2462594.1799999955,279708.0,2975450.0,208000.0
52,2006m1,PERRY,2006,1,AL,AL105,8400.0,300.0,68813.70000000001,18826.5,78250.0,14000.0
53,2006m1,PICKENS,2006,1,AL,AL107,11810.0,600.0,104801.79249999997,12102.75,115325.0,9000.0
54,2006m1,PIKE,2006,1,AL,AL109,48220.0,1300.0,310985.1350000001,63203.25,417650.0,47000.0
55,2006m1,RANDOLPH,2006,1,AL,AL111,55040.0,800.0,327353.12999999983,34963.5,461700.0,26000.0
56,2006m1,RUSSELL,2006,1,AL,AL113,133400.0,2700.0,904586.0250000013,149267.25,1142750.0,111000.0
